1,product 1,10.95,"(NULL)

","lekker zoet en scherp, verpakt per 20.",indian
2,product 2,69.42,,"lekker zoet en scherp, verpakt per 20.",indian
6,product 3,68.09,,"lekker zoet en scherp, verpakt per 20.",indian
7,product 4 ,24.94,,"lekker zoet en scherp, verpakt per 20.",indian
8,product 5,34.76,,"lekker zoet en scherp, verpakt per 20.",indian
9,product 6,49.76,,"lekker zoet en scherp, verpakt per 20.",indian
10,product 7,1000,,"lekker zoet en scherp, verpakt per 20.",indian
11,product 8,34.98,,"lekker zoet en scherp, verpakt per 20.",indian
12,product 9,24.9,,"lekker zoet en scherp, verpakt per 20.",indian
23,product 1,37.23,,"lekker zoet en scherp, verpakt per 20.",japan
24,product 2,32.65,,"lekker zoet en scherp, verpakt per 20.",japanese
25,product 3,23.54,,"lekker zoet en scherp, verpakt per 20.",japanese
26,product 4,34.21,,"lekker zoet en scherp, verpakt per 20.",japanese
27,product 5,98.45,,"lekker zoet en scherp, verpakt per 20.",japanese
28,product 6,24.45,,"lekker zoet en scherp, verpakt per 20.",japanese
29,product 7,24.78,,"lekker zoet en scherp, verpakt per 20.",japanese
30,product 8,24.97,,"lekker zoet en scherp, verpakt per 20.",japanese
31,product 9,23.87,,"lekker zoet en scherp, verpakt per 20.",japanese
32,product 1,32.68,,"lekker zoet en scherp, verpakt per 20.",chinese
33,product 2,82.24,,"lekker zoet en scherp, verpakt per 20.",chinese
34,product 3,35.65,,"lekker zoet en scherp, verpakt per 20.",chinese
35,product 4,35.98,,"lekker zoet en scherp, verpakt per 20.",chinese
36,product 5,18.26,,"lekker zoet en scherp, verpakt per 20.",chinese
37,product 6,24.75,,"lekker zoet en scherp, verpakt per 20.",chinese
38,product 7,34.21,,"lekker zoet en scherp, verpakt per 20.",chinese
39,product 8,23.54,,"lekker zoet en scherp, verpakt per 20.",chinese
40,product 9,24.45,,"lekker zoet en scherp, verpakt per 20.",chinese
41,product 1,52.74,,"lekker zoet en scherp, verpakt per 20.",thai
42,product 2,47.54,,"lekker zoet en scherp, verpakt per 20.",thai
43,product 3,93.12,,"lekker zoet en scherp, verpakt per 20.",thai
44,product 4,67.21,,"lekker zoet en scherp, verpakt per 20.",thai
45,product 5,34.86,,"lekker zoet en scherp, verpakt per 20.",thai
46,product 6,86.23,,"lekker zoet en scherp, verpakt per 20.",thai
47,product 7,45.89,,"lekker zoet en scherp, verpakt per 20.",thai
48,product 8,43.56,,"lekker zoet en scherp, verpakt per 20.",thai
49,product 9,35.53,,"lekker zoet en scherp, verpakt per 20.",thai
50,product 1,68,,"lekker zoet en scherp, verpakt per 20.",vietnam
51,product 2,34.21,,"lekker zoet en scherp, verpakt per 20.",vietnam
52,product 3,23.23,,"lekker zoet en scherp, verpakt per 20.",vietnam
53,product 4,32.2,,"lekker zoet en scherp, verpakt per 20.",vietnam
54,product 5,233.5,,"lekker zoet en scherp, verpakt per 20.",vietnam
55,product 6,25.78,,"lekker zoet en scherp, verpakt per 20.",vietnam
56,product 7,12.97,,"lekker zoet en scherp, verpakt per 20.",vietnam
57,product 8,23.76,,"lekker zoet en scherp, verpakt per 20.",vietnam
58,product 9,34.64,,"lekker zoet en scherp, verpakt per 20.",vietnam
59,product 1,83.34,,goeie pan voor alle soorten gerechten,supplies
60,product 2,42.12,,goeie pan voor alle soorten gerechten,supplies
61,product 3,87.54,,goeie pan voor alle soorten gerechten,supplies
62,product 4,45.78,,goeie pan voor alle soorten gerechten,supplies
63,product 5,43.21,,goeie pan voor alle soorten gerechten,supplies
64,product 6,34.78,,goeie pan voor alle soorten gerechten,supplies
65,product 7,56.89,,goeie pan voor alle soorten gerechten,supplies
66,product 8,53.12,,goeie pan voor alle soorten gerechten,supplies
67,product 9,35.9,,goeie pan voor alle soorten gerechten,supplies
